,ReadId,TileName,TileLength,TilePosition,AlignmentLength,Start,Stop,AlignmentScore,Distance,Suspicious
32,9,Sarcotoxin,129,1,139,679,818,146,-745,1
33,9,Flexiblemedian,54,2,59,73,132,135,-7,0
34,9,PVP-SE1gp146-CBD,267,3,272,125,397,666,-32,0
35,9,201j2-1gp229-EAD,540,4,571,365,936,1443,0,0
116,30,Sarcotoxin,129,1,146,270,416,127,123,1
117,30,Flexibleshort,30,2,31,539,570,53,-456,1
118,30,201j2-1gp229-CBD,267,3,268,114,382,539,-13,0
119,30,Phage2b.1bg019,573,4,594,369,963,1179,0,0
120,31,Sarcotoxin,129,1,110,614,724,116,-642,1
121,31,Flexiblemedian,54,2,34,82,116,126,10,0
122,31,KZ144-CBD,258,3,273,126,399,488,-30,0
123,31,BcepC6Bgp22,507,4,540,369,909,1026,0,0
136,35,LfcinB,57,1,56,83,139,174,353,1
137,35,Flexiblemedian,54,2,60,492,552,65,-403,1
138,35,KZ144-CBD,258,3,275,149,424,986,-16,0
139,35,KMVgp36C,498,4,518,408,926,1618,0,0
140,36,Ranalexin,66,1,68,21,89,238,68,1
141,36,Flexiblemedian,54,2,52,157,209,211,-7,0
142,36,OBPgp279-CBD,396,3,403,202,605,1640,-23,0
143,36,KZ144-EAD,543,4,563,582,1145,1997,0,0
180,46,CecropinAD,132,1,145,329,474,151,-369,1
181,46,Flexiblemedian,54,2,57,105,162,76,-19,0
182,46,KZ144-CBD,258,3,282,143,425,508,-24,0
183,46,LUZ24gp67,405,4,474,401,875,634,0,0
344,87,CecropinAD,132,1,135,37,172,151,-97,1
345,87,Flexiblemedian,54,2,57,75,132,165,2,0
346,87,OBPgp279-CBD,396,3,401,134,535,1178,-27,0
347,87,LysAci7,591,4,622,508,1130,1017,0,0
624,157,CecropinAA,120,1,110,558,668,123,-432,1
625,157,Flexiblemedian,54,2,51,236,287,77,17,0
626,157,EL188-CBD,351,3,390,304,694,190,-325,1
627,157,Vpept,438,4,458,369,827,666,0,0
672,169,NRC-13,81,1,81,29,110,374,75,1
673,169,Flexiblemedian,54,2,59,185,244,202,46,0
674,169,OBPgp279-CBD,396,3,410,290,700,1596,-17,0
675,169,Vpept,438,4,465,683,1148,953,0,0
784,197,CecropinAA,120,1,115,947,1062,122,-921,1
785,197,Flexiblemedian,54,2,59,141,200,171,-7,0
786,197,OBPgp279-CBD,396,3,445,193,638,839,-29,0
787,197,201j2-1gp229-EAD,540,4,592,609,1201,1253,0,0
800,201,Ranalexin,66,1,69,37,106,208,483,1
801,201,Flexiblemedian,54,2,30,589,619,57,-450,1
802,201,201j2-1gp229-CBD,267,3,281,169,450,727,-29,0
803,201,Phage2b.1bg019,573,4,595,421,1016,1504,0,0
820,206,CecropinAD,132,1,107,571,678,121,-569,1
821,206,Flexiblemedian,54,2,57,109,166,183,-10,0
822,206,PVP-SE1gp146-CBD,267,3,276,156,432,756,-25,0
823,206,BcepC6Bgp22,507,4,536,407,943,1668,0,0
976,245,Melittin,90,1,95,813,908,120,-770,1
977,245,Flexibleshort,30,2,30,138,168,114,-6,0
978,245,K11gp3.5,465,3,501,162,663,1605,-32,0
979,245,PVP-SE1gp146-EAD,561,4,557,631,1188,2065,0,0
1056,265,CecropinAD,132,1,124,356,480,110,-317,1
1057,265,Flexiblemedian,54,2,48,163,211,147,4,0
1058,265,EL188-CBD,351,3,366,215,581,944,-28,0
1059,265,CR8gp3.5,465,4,477,553,1030,1063,0,0
1068,268,Protegrin,66,1,69,77,146,194,560,1
1069,268,Flexiblemedian,54,2,57,706,763,49,-599,1
1070,268,KZ144-CBD,258,3,275,164,439,539,-36,0
1071,268,BcepC6Bgp22,507,4,500,403,903,741,0,0
1084,272,Sarcotoxin,129,1,124,27,151,115,791,1
1085,272,Flexibleshort,30,2,25,942,967,63,-746,1
1086,272,KZ144-CBD,258,3,269,221,490,223,-187,1
1087,272,LysAci7,591,4,626,303,929,363,0,0
1112,279,Nigrocine,74,1,83,56,139,181,488,1
1113,279,Flexiblemedian,54,2,44,627,671,51,-466,1
1114,279,OBPgp279-CBD,396,3,410,205,615,997,-42,0
1115,279,Vpept,438,4,426,573,999,805,0,0
1168,293,LfcinB,57,1,64,82,146,169,59,1
1169,293,Flexibleshort,30,2,27,205,232,99,-6,0
1170,293,KZ144-CBD,258,3,266,226,492,1115,-14,0
1171,293,BcepC6Bgp22,507,4,529,478,1007,1867,0,0
1200,301,Cecropin,105,1,108,48,156,470,86,1
1201,301,Flexiblemedian,54,2,64,242,306,204,-6,0
1202,301,201j2-1gp229-CBD,267,3,288,300,588,1088,-11,0
1203,301,Phage003,423,4,443,577,1020,1583,0,0
1244,312,Fowlicidin-2,105,1,111,92,203,414,594,1
1245,312,Flexiblemedian,54,2,50,797,847,68,-634,1
1246,312,KZ144-CBD,258,3,269,213,482,1000,-11,0
1247,312,KMVgp36C,498,4,513,471,984,1708,0,0
1336,335,Dermaseptin,93,1,95,220,315,119,-243,1
1337,335,Flexiblemedian,54,2,55,72,127,231,-5,0
1338,335,KZ144-CBD,258,3,275,122,397,836,-19,0
1339,335,Vpept,438,4,450,378,828,849,0,0
1508,378,CecropinAD,132,1,101,758,859,132,-770,1
1509,378,Flexiblemedian,54,2,60,89,149,225,-6,0
1510,378,K11gp3.5,465,3,480,143,623,1776,-25,0
1511,378,BcepC6Bgp22,507,4,511,598,1109,2113,0,0
1528,383,NRC-13,81,1,85,81,166,324,126,1
1529,383,Flexiblemedian,54,2,34,292,326,50,-82,1
1530,383,K11gp3.5,465,3,502,244,746,227,-564,1
1531,383,XccBg35,579,4,602,182,784,295,0,0
1580,396,Sarcotoxin,129,1,126,531,657,135,-609,1
1581,396,Flexiblemedian,54,2,58,48,106,188,-7,0
1582,396,EL188-CBD,351,3,362,99,461,1312,-23,0
1583,396,LUZ24gp67,405,4,412,438,850,1415,0,0
1712,429,SMAP29,99,1,116,89,205,114,-106,1
1713,429,Flexiblemedian,54,2,53,99,152,77,83,1
1714,429,201j2-1gp229-CBD,267,3,284,235,519,954,-14,0
1715,429,Phage003,423,4,371,505,876,1388,0,0
1772,444,Sarcotoxin,129,1,146,725,871,123,-606,1
1773,444,Flexiblemedian,54,2,59,265,324,73,-295,1
1774,444,PVP-SE1gp146-CBD,267,3,247,29,276,245,-141,1
1775,444,BcepC6Bgp22,507,4,544,135,679,344,0,0
1876,470,Pseudin,84,1,84,72,156,173,-140,1
1877,470,Flexiblemedian,54,2,7,16,23,35,189,1
1878,470,KZ144-CBD,258,3,286,212,498,566,-28,0
1879,470,KZ144-EAD,543,4,604,470,1074,1261,0,0
1908,478,TP4,87,1,88,71,159,334,874,1
1909,478,Flexiblemedian,54,2,57,1033,1090,77,-917,1
1910,478,EL188-CBD,351,3,360,173,533,1230,-14,0
1911,478,XccBg35,579,4,605,519,1124,1565,0,0
1928,483,Pleurocidin,87,1,60,785,845,109,-678,1
1929,483,Flexibleshort,30,2,18,167,185,63,62,1
1930,483,OBPgp279-CBD,396,3,405,247,652,228,-255,1
1931,483,LysAci7,591,4,662,397,1059,295,0,0
1992,2,Sarcotoxin,129,1,144,641,785,121,-690,1
1993,2,Flexibleshort,30,2,30,95,125,141,-12,0
1994,2,OBPgp279-CBD,396,3,409,113,522,1454,-31,0
1995,2,BcepC6Bgp16,423,4,442,491,933,1569,0,0
2004,5,Protegrin,66,1,73,23,96,180,603,1
2005,5,Flexiblemedian,54,2,35,699,734,64,-621,1
2006,5,KZ144-CBD,258,3,276,113,389,411,-44,0
2007,5,PsP3gp10,507,4,538,345,883,1136,0,0
2152,42,LL-37,123,1,129,92,221,237,63,1
2153,42,Flexiblemedian,54,2,57,284,341,166,-12,0
2154,42,PVP-SE1gp146-CBD,267,3,296,329,625,670,-29,0
2155,42,Vpept,438,4,470,596,1066,590,0,0
2304,80,Dermaseptin,93,1,98,313,411,115,-258,1
2305,80,Flexiblemedian,54,2,54,153,207,234,-6,0
2306,80,PVP-SE1gp146-CBD,267,3,270,201,471,863,-30,0
2307,80,OBPgp279-EAD,615,4,609,441,1050,2228,0,0
2380,99,CecropinAD,132,1,99,568,667,127,-567,1
2381,99,Flexiblemedian,54,2,57,100,157,144,2,0
2382,99,201j2-1gp229-CBD,267,3,274,159,433,766,-39,0
2383,99,BcepC6Bgp22,507,4,512,394,906,1887,0,0
2428,111,SMAP29,99,1,105,718,823,129,-581,1
2429,111,Flexiblemedian,54,2,57,242,299,147,-6,0
2430,111,201j2-1gp229-CBD,267,3,278,293,571,1059,-15,0
2431,111,BcepC6Bgp22,507,4,519,556,1075,1861,0,0
2576,148,Fowlicidin-2,105,1,108,89,197,382,59,1
2577,148,Flexiblemedian,54,2,60,256,316,61,-132,1
2578,148,K11gp3.5,465,3,478,184,662,1577,-50,0
2579,148,LysAci7,591,4,533,612,1145,1240,0,0
2792,202,Ci-MAM-A24,84,1,93,24,117,284,68,1
2793,202,Flexiblemedian,54,2,57,185,242,197,-6,0
2794,202,KZ144-CBD,258,3,263,236,499,895,-20,0
2795,202,PVP-SE1gp146-EAD,561,4,581,479,1060,1796,0,0
2800,204,TP4,87,1,89,31,120,202,551,1
2801,204,Flexiblemedian,54,2,58,671,729,87,-584,1
2802,204,EL188-CBD,351,3,350,145,495,851,-43,0
2803,204,BcepC6Bgp16,423,4,433,452,885,1101,0,0
2812,207,Magainin,81,1,76,17,93,305,781,1
2813,207,Flexibleshort,30,2,26,874,900,49,-734,1
2814,207,OBPgp279-CBD,396,3,398,166,564,858,-29,0
2815,207,LysEC8,507,4,525,535,1060,1433,0,0
3044,265,LL-37,123,1,119,504,623,106,-507,1
3045,265,Flexiblemedian,54,2,56,116,172,165,-8,0
3046,265,201j2-1gp229-CBD,267,3,265,164,429,1007,-21,0
3047,265,LysEC8,507,4,514,408,922,1733,0,0
3136,288,Nigrocine,74,1,73,19,92,253,879,1
3137,288,Flexiblemedian,54,2,32,971,1003,53,-830,1
3138,288,EL188-CBD,351,3,360,173,533,858,-39,0
3139,288,P2gp09,510,4,565,494,1059,1121,0,0
3192,302,Melittin,90,1,93,274,367,109,-218,1
3193,302,Flexiblemedian,54,2,58,149,207,197,-5,0
3194,302,OBPgp279-CBD,396,3,411,202,613,744,-64,1
3195,302,BcepC6Bgp16,423,4,444,549,993,1125,0,0
3276,323,E7K_I9K,51,1,46,106,152,217,71,1
3277,323,Flexiblemedian,54,2,51,223,274,202,-8,0
3278,323,KZ144-CBD,258,3,262,266,528,1055,-15,0
3279,323,XccBg35,579,4,567,513,1080,2031,0,0
3388,351,SMAP29,99,1,105,773,878,123,-815,1
3389,351,Flexiblemedian,54,2,60,63,123,189,-6,0
3390,351,OBPgp279-CBD,396,3,413,117,530,1543,-22,0
3391,351,BcepC6Bgp16,423,4,445,508,953,1577,0,0
3452,367,3IQ2,81,1,79,82,161,128,528,1
3453,367,Flexiblemedian,54,2,56,689,745,58,-173,1
3454,367,K11gp3.5,465,3,468,572,1040,225,-938,1
3455,367,LysAci7,591,4,637,102,739,357,0,0
3472,372,Ascaphine,84,1,92,81,173,141,63,1
3473,372,Flexiblemedian,54,2,58,236,294,184,4,0
3474,372,PVP-SE1gp146-CBD,267,3,276,298,574,770,-29,0
3475,372,PsP3gp10,507,4,532,545,1077,1791,0,0
3656,418,Sushi,114,1,134,808,942,117,-795,1
3657,418,Flexiblemedian,54,2,47,147,194,75,2,0
3658,418,201j2-1gp229-CBD,267,3,285,196,481,479,-23,0
3659,418,KZgp181,501,4,539,458,997,1387,0,0
3684,425,LL-37,123,1,101,375,476,123,-372,1
3685,425,Flexibleshort,30,2,30,104,134,150,-6,0
3686,425,201j2-1gp229-CBD,267,3,280,128,408,1145,-9,0
3687,425,Vpept,438,4,484,399,883,920,0,0
3856,468,PAM2,78,1,80,186,266,254,494,1
3857,468,Flexiblemedian,54,2,52,760,812,88,-531,1
3858,468,KZ144-CBD,258,3,287,281,568,514,-9,0
3859,468,XccBg35,579,4,618,559,1177,949,0,0
3888,476,E7K_I9K_IsCT,51,1,47,40,87,186,169,1
3889,476,Flexibleshort,30,2,29,256,285,43,-152,1
3890,476,PVP-SE1gp146-CBD,267,3,278,133,411,682,-127,1
3891,476,PVP-SE1gp146-EAD,561,4,116,284,400,359,0,0
3932,487,Sarcotoxin,129,1,108,621,729,112,-252,1
3933,487,Flexibleshort,30,2,26,477,503,45,-260,1
3934,487,K11gp3.5,465,3,508,243,751,202,-589,1
3935,487,OBPgp279-EAD,615,4,654,162,816,236,0,0
4004,12,SMAP29,99,1,98,716,814,122,-722,1
4005,12,Flexiblemedian,54,2,56,92,148,121,-10,0
4006,12,201j2-1gp229-CBD,267,3,287,138,425,470,-44,0
4007,12,KMVgp36C,498,4,527,381,908,1559,0,0
4024,17,PAM2,78,1,83,67,150,247,67,1
4025,17,Flexiblemedian,54,2,57,217,274,187,-6,0
4026,17,201j2-1gp229-CBD,267,3,277,268,545,943,-25,0
4027,17,BcepC6Bgp22,507,4,520,520,1040,2031,0,0
4112,39,CecropinAA,120,1,116,513,629,115,-532,1
4113,39,Flexiblemedian,54,2,56,97,153,156,-8,0
4114,39,201j2-1gp229-CBD,267,3,280,145,425,915,-20,0
4115,39,OBPgp276,540,4,573,405,978,1952,0,0
4124,42,CecropinAA,120,1,118,704,822,102,-628,1
4125,42,Flexibleshort,30,2,25,194,219,62,2,0
4126,42,EL188-CBD,351,3,390,221,611,460,-37,0
4127,42,Phage003,423,4,446,574,1020,876,0,0
4260,76,LL-37,123,1,122,376,498,132,-386,1
4261,76,Flexiblemedian,54,2,40,112,152,85,-6,0
4262,76,201j2-1gp229-CBD,267,3,281,146,427,630,-29,0
4263,76,KMVgp36C,498,4,542,398,940,893,0,0
4288,83,Sarcotoxin,129,1,142,68,210,120,-57,1
4289,83,Flexiblemedian,54,2,55,153,208,88,-6,0
4290,83,PVP-SE1gp146-CBD,267,3,277,202,479,504,-43,0
4291,83,LysAci7,591,4,633,436,1069,493,0,0
4336,95,CecropinAD,132,1,122,261,383,137,-268,1
4337,95,Flexibleshort,30,2,32,115,147,116,-4,0
4338,95,EL188-CBD,351,3,355,143,498,687,-44,0
4339,95,OBPgp276,540,4,558,454,1012,1549,0,0
4360,101,TB_KKG6A,57,1,57,37,94,232,69,1
4361,101,Flexiblemedian,54,2,58,163,221,62,-79,1
4362,101,EL188-CBD,351,3,328,142,470,484,-31,0
4363,101,LysEC8,507,4,505,439,944,1600,0,0
4452,124,CecropinAA,120,1,118,811,929,120,-808,1
4453,124,Flexiblemedian,54,2,60,121,181,180,-9,0
4454,124,OBPgp279-CBD,396,3,409,172,581,1109,-41,0
4455,124,LUZ24gp67,405,4,406,540,946,1388,0,0
4496,135,Dermaseptin,93,1,80,86,166,120,582,1
4497,135,Flexibleshort,30,2,26,748,774,46,-537,1
4498,135,EL188-CBD,351,3,401,237,638,522,-6,0
4499,135,LUZ24gp67,405,4,466,632,1098,615,0,0
4580,156,CecropinAD,132,1,106,680,786,148,-677,1
4581,156,Flexiblemedian,54,2,58,109,167,197,-6,0
4582,156,EL188-CBD,351,3,367,161,528,1346,-17,0
4583,156,BcepC6Bgp22,507,4,539,511,1050,1631,0,0
4688,183,Chrysophsin,87,1,92,82,174,229,75,1
4689,183,Flexibleshort,30,2,26,249,275,112,-6,0
4690,183,201j2-1gp229-CBD,267,3,279,269,548,626,-27,0
4691,183,BcepC6Bgp16,423,4,463,521,984,806,0,0
4712,189,Sarcotoxin,129,1,142,747,889,115,-769,1
4713,189,Flexibleshort,30,2,23,120,143,48,624,1
4714,189,OBPgp279-CBD,396,3,299,767,1066,185,-481,1
4715,189,LysAci7,591,4,555,585,1140,303,0,0
4716,190,Melittin,90,1,93,702,795,119,-689,1
4717,190,Flexibleshort,30,2,31,106,137,88,67,1
4718,190,EL188-CBD,351,3,363,204,567,1270,-21,0
4719,190,OBPgp276,540,4,560,546,1106,2139,0,0
4768,203,Sarcotoxin,129,1,140,708,848,116,-745,1
4769,203,Flexiblemedian,54,2,53,103,156,243,-8,0
4770,203,201j2-1gp229-CBD,267,3,281,148,429,1110,-10,0
4771,203,PVP-SE1gp146-EAD,561,4,577,419,996,2171,0,0
4780,206,Sushi,114,1,113,77,190,450,276,1
4781,206,Flexibleshort,30,2,20,466,486,56,110,1
4782,206,K11gp3.5,465,3,525,596,1121,261,-450,1
4783,206,BcepC6Bgp22,507,4,585,671,1256,328,0,0
4800,211,Ascaphine,84,1,84,79,163,110,784,1
4801,211,Flexibleshort,30,2,7,947,954,35,-938,1
4802,211,EL188-CBD,351,3,386,16,402,641,-35,0
4803,211,LysAci7,591,4,649,367,1016,597,0,0
4860,226,Sushi,114,1,134,25,159,216,473,1
4861,226,Flexibleshort,30,2,27,632,659,60,-490,1
4862,226,201j2-1gp229-CBD,267,3,288,169,457,750,-23,0
4863,226,Vpept,438,4,497,434,931,446,0,0
5016,265,CecropinAD,132,1,142,84,226,140,-109,1
5017,265,Flexibleshort,30,2,30,117,147,57,-4,0
5018,265,PVP-SE1gp146-CBD,267,3,306,143,449,573,-26,0
5019,265,BcepC6Bgp22,507,4,585,423,1008,857,0,0
5040,271,CecropinAD,132,1,130,959,1089,127,-885,1
5041,271,Flexibleshort,30,2,29,204,233,43,572,1
5042,271,PVP-SE1gp146-CBD,267,3,230,805,1035,177,-915,1
5043,271,LysAci7,591,4,630,120,750,300,0,0
5048,273,CecropinAD,132,1,95,550,645,125,-557,1
5049,273,Flexibleshort,30,2,29,88,117,118,-6,0
5050,273,KZ144-CBD,258,3,273,111,384,723,-23,0
5051,273,BcepC6Bgp22,507,4,564,361,925,1292,0,0
5072,279,LL-37,123,1,143,651,794,116,-586,1
5073,279,Flexiblemedian,54,2,57,208,265,108,1,0
5074,279,KZ144-CBD,258,3,206,266,472,231,56,1
5075,279,P2gp09,510,4,515,528,1043,1166,0,0
5152,299,Sarcotoxin,129,1,144,109,253,125,-70,1
5153,299,Flexiblemedian,54,2,61,183,244,129,-2,0
5154,299,OBPgp279-CBD,396,3,433,242,675,505,-76,1
5155,299,201j2-1gp229-EAD,540,4,590,599,1189,544,0,0
5168,303,E7K_I9K_IsCT,51,1,48,78,126,142,705,1
5169,303,Flexiblemedian,54,2,45,831,876,109,-674,1
5170,303,KZ144-CBD,258,3,284,202,486,775,-20,0
